id,name,neighborhood,bedrooms,nightly_rate,days_occupied,availability_30,home_price,rpp,noi
3040278,"Amazing View, Amazing Location",Queen Anne/Magnolia,2,217,18,12,724370,3906,-283.28
1071843,Wake up under the Space Needle ,Queen Anne/Magnolia,1,95,19,11,546229,1805,-1239.98
4973204,Queen Anne - Comforts of home,Queen Anne/Magnolia,2,165,28,2,724370,4620,359.32
9118240,"Sweeping Views, Fabulous Apartment",Queen Anne/Magnolia,1,200,30,0,546229,6000,2535.52
3738724,Spacious Queen Anne townhouse,Queen Anne/Magnolia,1,240,0,30,546229,0,-2864.48
945833,A block from the Seattle Center,Queen Anne/Magnolia,3,275,30,0,895000,8250,2731.52
4596493,Large modern waterfront comfy 2bd,Queen Anne/Magnolia,2,165,30,0,724370,4950,656.32
4310055,Perfect place to see the city!,Queen Anne/Magnolia,1,120,0,30,546229,0,-2864.48
3720429,Best Location in Lower Queen Anne!,Queen Anne/Magnolia,1,200,30,0,546229,6000,2535.52
6956301,Upper Queen Anne Cozy 1 Bedroom,Queen Anne/Magnolia,1,120,30,0,546229,3600,375.52
6750430,Beautiful in lower cozy Queen Anne.,Queen Anne/Magnolia,1,200,2,28,546229,400,-2504.48
8373664,Bright and Sunny  1 bedroom Apt.,Queen Anne/Magnolia,1,115,3,27,546229,345,-2553.98
6783394,Gorgeous Modern Loft near Downtown,Queen Anne/Magnolia,1,125,18,12,546229,2250,-839.48
9332620,Spend Christmas in Seattle!,Queen Anne/Magnolia,1,75,30,0,546229,2250,-839.48
1321090,"2, Seattle Center Inn",Queen Anne/Magnolia,1,95,0,30,546229,0,-2864.48
10170744,Puget Suite Luxury Two Bedroom,Queen Anne/Magnolia,2,259,1,29,724370,259,-3565.58
6780670,Quaint vintage apartment,Queen Anne/Magnolia,1,130,0,30,546229,0,-2864.48
9370738,Sunlit and Roomy,Queen Anne/Magnolia,1,89,26,4,546229,2314,-781.88
8150145,3BD/3BA Townhouse Near Space Needle,Queen Anne/Magnolia,3,275,12,18,895000,3300,-1723.48
8967776,"Updated, Convenient Queen Anne Apt",Queen Anne/Magnolia,1,80,30,0,546229,2400,-704.48
10000273,Lower Queen Anne w/Needle View 2/2,Queen Anne/Magnolia,1,175,19,11,546229,3325,128.02
4988679,2BD Lower Queen Anne Great View!,Queen Anne/Magnolia,2,189,0,30,724370,0,-3798.68
6093756,Downtown Seattle Loft + Bonus,Queen Anne/Magnolia,1,205,0,30,546229,0,-2864.48
7921289,Open 1 Bedroom + Balcony &City View,Queen Anne/Magnolia,1,199,27,3,546229,5373,1971.22
10108451,Modern Open 1 Bed with Patio,Queen Anne/Magnolia,1,150,22,8,546229,3300,105.52
8117705,"Central Location, Tree Lined Street",Queen Anne/Magnolia,1,67,28,2,546229,1876,-1176.08
8518308,Cozy Bachelor Pad in Queen Anne,Queen Anne/Magnolia,1,97,20,10,546229,1940,-1118.48
3562617,Waterfront/Space Needle/Dwntwn View,Queen Anne/Magnolia,2,200,30,0,724370,6000,1601.32
7109735,Queen Anne 2BR-Private Rooftop Deck,Queen Anne/Magnolia,2,190,30,0,724370,5700,1331.32
7075913,Beautiful Uptown Neighborhood,Queen Anne/Magnolia,1,100,29,1,546229,2900,-254.48
481220,Garden Apt. in Historic Sea. House,Queen Anne/Magnolia,1,195,2,28,546229,390,-2513.48
9975073,Just steps to Downtown,Queen Anne/Magnolia,1,105,30,0,546229,3150,-29.48
10170577,Puget Suite,Queen Anne/Magnolia,1,149,0,30,546229,0,-2864.48
5946675,Modern Unit Near Seattle Center,Queen Anne/Magnolia,1,145,6,24,546229,870,-2081.48
7162664,Modern home in heart of the city,Queen Anne/Magnolia,1,220,30,0,546229,6600,3075.52
6901218,Cozy apartment in heart of LQA,Queen Anne/Magnolia,1,99,21,9,546229,2079,-993.38
4951430,Queen Anne Classic Apartment,Queen Anne/Magnolia,1,125,25,5,546229,3125,-51.98
5538663,Furnished One Bedroom Space Needle,Queen Anne/Magnolia,1,145,30,0,546229,4350,1050.52
9094836,Top Floor Condo with Ocean View,Queen Anne/Magnolia,1,150,0,30,546229,0,-2864.48
4047399,One bedroom in Lower Queen Anne,Queen Anne/Magnolia,1,160,30,0,546229,4800,1455.52
5104077,Calm artist's home in Cedar Park ,North Seattle,3,110,30,0,800000,3300,-1225.29
8233110,Beautiful 2BR Seattle LakeApartment,North Seattle,2,171,4,26,647482,684,-2779.87
7650458,"Large, Beautiful, Affordable Condo",North Seattle,1,70,2,28,488249,140,-2434.43
4092037,Modern 3 BR home in Seattle,North Seattle,3,250,22,8,800000,5500,754.71
475361,NE Seattle Artist Treehouse Suite! ,North Seattle,1,89,0,30,488249,0,-2560.43
6018416,Sunset Hill View Craftsman,Ballard/Greenlake,3,350,29,1,760000,10150,5149.48
